Schedule,ThreadCt,smallArr,largeArr
None,48,2.421,16.266
None,M,6.478,26.8994
None,M/2,5.130,25.670
None,M/4,3.837,26.161
None,M/8,3.776,21.307
None,M/16,2.102,18.451
None,M/32,2.970,17.521
None,M/64,2.133,17.318
Static,48,2.163,19.576
Static,M,6.695,29.336
Static,M/2,4.936,23.9508
Static,M/4,3.960,22.9439
Static,M/8,3.3690,22.260
Static,M/16,3.134,18.284
Static,M/32,2.789,17.804
Static,M/64,2.665,15.715
Dynamic,48,1.370,20.948
Dynamic,M,6.114,21.436
Dynamic,M/2,5.089,22.474
Dynamic,M/4,6.459,20.629
Dynamic,M/8,3.736,20.376
Dynamic,M/16,2.071,25.842
Dynamic,M/32,2.818,18.419
Dynamic,M/64,2.395,19.149
Guided,48,1.981,17.100
Guided,M,6.638,22.444
Guided,M/2,5.030,24.187
Guided,M/4,6.412,20.802
Guided,M/8,4.032,23.513
Guided,M/16,2.889,27.208
Guided,M/32,3.136,17.041
Guided,M/64,2.527,16.362
